iata,name,latitude,longitude
EWN,Coastal Carolina Regional Airport,35.0730018616,-77.04290008539999
EWR,Newark Liberty International Airport,40.6894,-74.170545
EYW,Key West International Airport,24.556119,-81.759579
FAI,Fairbanks International Airport,64.815102,-147.856003
FAR,Hector International Airport,46.9207,-96.815804
FAT,Fresno Yosemite International Airport,36.775767,-119.718018
FAY,Fayetteville Regional Airport - Grannis Field,34.991199,-78.880302
FCA,Glacier Park International Airport,48.310501,-114.255997
FLG,Flagstaff Pulliam Airport,35.139757,-111.669826
FLL,Fort Lauderdale Hollywood International Airport,26.072599,-80.152702
FMN,Four Corners Regional Airport,36.741199,-108.230003
FNT,Bishop International Airport,42.969294,-83.743355
FOD,Fort Dodge Regional Airport,42.552624,-94.191237
FSD,Sioux Falls Regional Airport,43.585463,-96.741152
FSM,Fort Smith Regional Airport,35.336601,-94.367401
FWA,Fort Wayne International Airport,40.978896,-85.194465
GCC,Northeast Wyoming Regional Airport,44.3489,-105.539001
GCK,Garden City Regional Airport,37.9275016785,-100.723999023
GEG,Spokane International Airport,47.6199,-117.533997
GFK,Grand Forks International Airport,47.949299,-97.176102
GGG,East Texas Regional Airport,32.38399887084961,-94.71150207519531
GJT,Grand Junction Regional Airport,39.126663,-108.529387
GNV,Gainesville Regional Airport,29.6900997162,-82.2717971802
GPT,Gulfport Biloxi International Airport,30.405582,-89.069836
GRB,Austin Straubel International Airport,44.483459,-88.130805
GRI,Central Nebraska Regional Airport,40.967498779296875,-98.30960083007812
GRK,Killeen Regional Airport / Robert Gray Army Airfield,31.0672,-97.828903
GRR,Gerald R. Ford International Airport,42.880798,-85.522797
GSO,Piedmont Triad International Airport,36.09937,-79.937262
GSP,Greenville-Spartanburg International Airport,34.895699,-82.218903
GTF,Great Falls International Airport,47.481998,-111.371002
GTR,Golden Triangle Regional Airport,33.450298,-88.5914
GUC,Gunnison Crested Butte Regional Airport,38.534672,-106.934566
GUF,Jack Edwards National Airport,30.290501,-87.671799
GUM,Antonio B. Won Pat International Airport,13.485,144.797282
HDN,Yampa Valley Airport,40.481201,-107.218002
HGR,Hagerstown Regional Richard A Henson Field,39.708771,-77.728014
HHH,Hilton Head Airport,32.2244,-80.697502
HIB,Range Regional Airport,47.384831,-92.836905
HLN,Helena Regional Airport,46.6068,-111.983002
HNL,Daniel K. Inouye International Airport,21.318387,-157.92567
HOB,Lea County Regional Airport,32.6875,-103.217003
HOU,William P. Hobby Airport,29.645336,-95.276812
HPN,Westchester County Airport,41.06700134277344,-73.70760345458984
HRL,Valley International Airport,26.228500366210938,-97.65440368652344
HSV,Huntsville International Airport,34.636244,-86.774378
HTS,Tri-State Airport / Milton J. Ferguson Field,38.366699,-82.557999
HYA,Cape Cod Gateway Airport,41.6693,-70.280403
HYS,Hays Regional Airport,38.844521,-99.273148
IAD,Washington Dulles International Airport,38.9445,-77.455803
IAG,Niagara Falls International Airport,43.1073,-78.946198
IAH,George Bush Intercontinental Airport,29.9844,-95.3414
ICT,Wichita Dwight D. Eisenhower National Airport,37.650314,-97.428583
IDA,Idaho Falls Regional Airport,43.514599,-112.070999
ILM,Wilmington International Airport,34.272345,-77.905117
IMT,Ford Airport,45.81911,-88.114557
IND,Indianapolis International Airport,39.7173,-86.294403
INL,Falls International Airport,48.566200256347656,-93.4030990600586
ISP,Long Island MacArthur Airport,40.796324,-73.101703
ITO,Hilo International Airport,19.72135,-155.045428
JAC,Jackson Hole Airport,43.6073,-110.737999
JAN,Jackson-Medgar Wiley Evers International Airport,32.311199,-90.075897
JAX,Jacksonville International Airport,30.492469,-81.687813
JFK,John F. Kennedy International Airport,40.639447,-73.779317
JLN,Joplin Regional Airport,37.151798,-94.498299
JMS,Jamestown Regional Airport,46.92969894,-98.67819977
JNU,Juneau International Airport,58.354935,-134.574416
JST,John Murtha Johnstown Cambria County Airport,40.31610107421875,-78.83390045166016
KOA,Ellison Onizuka Kona International Airport at Keāhole,19.738783,-156.045603
KTN,Ketchikan International Airport,55.35559845,-131.7140045
LAF,Purdue University Airport,40.412875,-86.939363
LAN,Capital Region International Airport,42.777582,-84.585721
LAR,Laramie Regional Airport,41.31209945678711,-105.67500305175781
LAS,Harry Reid International Airport,36.083361,-115.151817
LAW,Lawton Fort Sill Regional Airport,34.567699,-98.416603
LAX,Los Angeles International Airport,33.942501,-118.407997
LBB,Lubbock Preston Smith International Airport,33.663601,-101.822998
LBE,Arnold Palmer Regional Airport,40.275902,-79.4048
LBF,North Platte Regional Airport Lee Bird Field,41.12620163,-100.6839981
LBL,Liberal Mid-America Regional Airport,37.0442009,-100.9599991
LCH,Lake Charles Regional Airport,30.126100540161133,-93.22329711914062
LCK,Rickenbacker International Airport,39.813801,-82.927803
LEX,Blue Grass Airport,38.035066,-84.606738
LFT,Lafayette Regional Airport,30.205299,-91.987602
LGA,LaGuardia Airport,40.777199,-73.872597
LGB,Long Beach International Airport,33.816523,-118.149891
LIH,Lihue Airport,21.974393,-159.337146
LIT,Bill & Hillary Clinton National Airport/Adams Field,34.729222,-92.223591
LNK,Lincoln Airport,40.844882,-96.76178
LRD,Laredo International Airport,27.5438,-99.461601
LSE,La Crosse Regional Airport,43.879002,-91.256699
LWS,Lewiston Nez Perce County Airport,46.3745002746582,-117.01499938964844
MAF,Midland International Air and Space Port,31.942499,-102.202003
MBS,MBS International Airport,43.533181,-84.083104
MCI,Kansas City International Airport,39.301699,-94.713893
MCO,Orlando International Airport,28.429399490356445,-81.30899810791016
MCW,Mason City Municipal Airport,43.159801,-93.329716
MDT,Harrisburg International Airport,40.192838,-76.762333
MDW,Chicago Midway International Airport,41.785999,-87.752403
MEI,Key Field / Meridian Regional Airport,32.3326,-88.7519
MEM,Memphis International Airport,35.043845,-89.97634
MFE,McAllen Miller International Airport,26.176141,-98.237965
MFR,Rogue Valley International-Medford Airport,42.374199,-122.873001
MGM,Montgomery Regional (Dannelly Field) Airport,32.300598,-86.393997
MGW,Morgantown Municipal Airport Walter L. (Bill) Hart Field,39.643305,-79.917598
MHK,Manhattan Regional Airport,39.14099884033203,-96.6707992553711
MHT,Manchester-Boston Regional Airport,42.932598,-71.435699
MIA,Miami International Airport,25.796011,-80.289751
MKE,General Mitchell International Airport,42.947201,-87.896599
MLB,Melbourne Orlando International Airport,28.102009,-80.641088
MLI,Quad City International Airport,41.448502,-90.5075
MLU,Monroe Regional Airport,32.510899,-92.037697
MOB,Mobile Regional Airport,30.6912,-88.242798
MOT,Minot International Airport,48.25801,-101.279123
MQT,Marquette/Sawyer International Airport,46.351498,-87.395884
MRY,Monterey Regional Airport,36.586777,-121.844183
MSN,Dane County Regional Truax Field,43.1399,-89.337502
MSO,Missoula Montana Airport,46.915816,-114.091107
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,44.880081,-93.221741
MSY,Louis Armstrong New Orleans International Airport,29.993401,-90.264673
MTJ,Montrose Regional Airport,38.5098,-107.893997
MVY,Martha's Vineyard Airport,41.3931007385,-70.6143035889
MYR,Myrtle Beach International Airport,33.679699,-78.928299
OAJ,Albert J Ellis Airport,34.829201,-77.612099
OAK,San Francisco Bay Oakland International Airport,37.720085,-122.221184
OGG,Kahului International Airport,20.896263,-156.431837
OKC,OKC Will Rogers World Airport,35.393388,-97.598248
OMA,Eppley Airfield,41.3032,-95.894096
OME,Nome Airport,64.51219940185547,-165.44500732421875
ONT,Ontario International Airport,34.056,-117.600998
ORD,Chicago O'Hare International Airport,41.9786,-87.9048
ORF,Norfolk International Airport,36.895341,-76.201
ORH,Worcester Regional Airport,42.2673,-71.875702
OTH,Southwest Oregon Regional Airport,43.41709899902344,-124.24600219726562
OTZ,Ralph Wien Memorial Airport,66.88469696,-162.598999
PAE,Seattle Paine Field International Airport,47.9063,-122.281998
PBG,Plattsburgh International Airport,44.650902,-73.468102
PBI,Palm Beach International Airport,26.683201,-80.095596
PDX,Portland International Airport,45.588699,-122.598
PGD,Punta Gorda Airport,26.9202,-81.990501
PHL,Philadelphia International Airport,39.871899,-75.241096
PHX,Phoenix Sky Harbor International Airport,33.435302,-112.005905
PIA,General Wayne A. Downing Peoria International Airport,40.663841,-89.692631
PIB,Hattiesburg Laurel Regional Airport,31.4671,-89.337097
PIE,St. Petersburg Clearwater International Airport,27.9102,-82.687401
PIH,Pocatello Regional Airport,42.9098014831543,-112.59600067138672
PIR,Pierre Regional Airport,44.38270187,-100.2860031
PIT,Pittsburgh International Airport,40.491501,-80.232903
PLN,Pellston Regional Airport of Emmet County Airport,45.57089996,-84.79669952
PNS,Pensacola International Airport,30.472718,-87.186639
PPG,Pago Pago International Airport,-14.331,-170.710007
PQI,Presque Isle International Airport,46.688999,-68.0448
PRC,Prescott Regional Airport - Ernest A. Love Field,34.653502,-112.419883
PSC,Tri Cities Airport,46.264702,-119.119003
PSE,Mercedita International Airport,18.008301,-66.563004
PSG,Petersburg James A Johnson Airport,56.80170059,-132.9450073
PSM,Portsmouth International Airport at Pease,43.0779,-70.823303
PSP,Palm Springs International Airport,33.8297,-116.507004
PVD,Rhode Island T. F. Green International Airport,41.725038,-71.425668
PVU,Provo Municipal Airport,40.218894,-111.722445
PWM,Portland International Jetport,43.646198,-70.309303
RAP,Rapid City Regional Airport,44.0452995300293,-103.05699920654297
RDD,Redding Municipal Airport,40.50899887,-122.2929993
RDM,Roberts Field,44.254101,-121.150002
RDU,Raleigh-Durham International Airport,35.878659,-78.7873
RFD,Chicago Rockford International Airport,42.1954,-89.097198
RHI,Rhinelander Oneida County Airport,45.63119888305664,-89.46749877929688
RIC,Richmond International Airport,37.505199,-77.319702
RIW,Central Wyoming Regional Airport,43.064201,-108.459999
RKS,Southwest Wyoming Regional Airport,41.5942,-109.065001
RNO,Reno Tahoe International Airport,39.4991,-119.767998
ROA,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403
ROC,Frederick Douglass Greater Rochester International Airport,43.1189,-77.672401
ROW,Roswell Air Center Airport,33.301601,-104.530998
RST,Rochester International Airport,43.908298,-92.5
RSW,Southwest Florida International Airport,26.534685,-81.752816
SAF,Santa Fe Municipal Airport,35.6171,-106.088997
SAN,San Diego International Airport,32.733601,-117.190002
SAT,San Antonio International Airport,29.533701,-98.469803
SAV,Savannah Hilton Head International Airport,32.126591,-81.19998
SBA,Santa Barbara Municipal Airport,34.426201,-119.839996
SBN,South Bend International Airport,41.708304,-86.316922
SBP,San Luis County Regional Airport,35.236801147499996,-120.641998291
SCC,Deadhorse Airport,70.19470215,-148.4649963
SCE,State College Regional Airport,40.849374,-77.84852
SCK,Stockton Metropolitan Airport,37.893279,-121.238079
SDF,Louisville Muhammad Ali International Airport,38.1706,-85.735076
SEA,Seattle–Tacoma International Airport,47.447943,-122.310276
SFB,Orlando Sanford International Airport,28.774277,-81.234626
SFO,San Francisco International Airport,37.619806,-122.374821
SGF,Springfield Branson National Airport,37.245047,-93.388596
SGU,St George Regional Airport,37.036389,-113.510306
SHR,Sheridan County Airport,44.76919937133789,-106.9800033569336
SHV,Shreveport Regional Airport,32.446602,-93.8256
SIT,Sitka Rocky Gutierrez Airport,57.04710006713867,-135.36199951171875
SJC,Norman Y. Mineta San Jose International Airport,37.362452,-121.929188
SJT,San Angelo Regional Mathis Field,31.35770034790039,-100.49600219726562
SJU,Luis Munoz Marin International Airport,18.4394,-66.001801
SLC,Salt Lake City International Airport,40.78886,-111.979866
SLN,Salina Municipal Airport,38.79100036621094,-97.6521987915039
SMF,Sacramento International Airport,38.6954,-121.591003
SMX,Santa Maria Public Airport Captain G Allan Hancock Field,34.898899,-120.457001
SNA,John Wayne Orange County International Airport,33.675063,-117.869281
SPI,Abraham Lincoln Capital Airport,39.844101,-89.677902
SPN,Saipan International Airport,15.119384,145.728848
SPS,Wichita Falls Municipal Airport / Sheppard Air Force Base,33.9888,-98.491898
SRQ,Sarasota Bradenton International Airport,27.394631,-82.554359
STC,Saint Cloud Regional Airport,45.5466,-94.059898
STL,St. Louis Lambert International Airport,38.748697,-90.370003
STS,Charles M. Schulz Sonoma County Airport,38.50899887,-122.8130035
STT,Cyril E. King Airport,18.337091,-64.977251
STX,Henry E. Rohlsen Airport,17.701413,-64.802608
SUN,Friedman Memorial Airport,43.50439835,-114.2959976
SUX,Sioux Gateway Airport / Brigadier General Bud Day Field,42.397605,-96.382237
SWF,New York Stewart International Airport,41.50421,-74.108901
SWO,Stillwater Regional Airport,36.162132,-97.085581
SYR,Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039
TLH,Tallahassee International Airport,30.401209,-84.35433
TOL,Eugene F. Kranz Toledo Express Airport,41.5868,-83.8078
TPA,Tampa International Airport,27.9755,-82.533203
TRI,Tri-Cities Regional TN/VA Airport,36.475201,-82.407401
TTN,Trenton Mercer Airport,40.276699,-74.813499
TUL,Tulsa International Airport,36.197084,-95.886225
TUS,Tucson International Airport,32.115004,-110.938053
TVC,Cherry Capital Airport,44.741402,-85.582199
TWF,Joslin Field Magic Valley Regional Airport,42.4818,-114.487999
TXK,Texarkana Regional Airport (Webb Field),33.453701,-93.990997
TYR,Tyler Pounds Regional Airport,32.35409927368164,-95.40239715576172
TYS,McGhee Tyson Airport,35.811001,-83.994003
USA,Concord-Padgett Regional Airport,35.387798,-80.709099
VCT,Victoria Regional Airport,28.85260009765625,-96.91850280761719
VPS,Destin-Fort Walton Beach Airport,30.481315,-86.515839
WRG,Wrangell Airport,56.48429871,-132.3699951
WYS,Yellowstone Airport,44.6884,-111.117996
XNA,Northwest Arkansas National Airport,36.281898,-94.306801
XWA,Williston Basin International Airport,48.260863,-103.75116
YAK,Yakutat Airport,59.508717,-139.660435
YUM,Yuma International Airport / Marine Corps Air Station Yuma,32.650938,-114.609375
